City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,afif,23.9065,42.9172,98.42,9,0,8.99,SA,1687761975
298,oriximina,-1.7656,-55.8661,76.75,76,49,2.95,BR,1687761975
299,weno,7.4515,151.8468,87.75,74,75,6.91,FM,1687761976
300,sisimiut,66.9395,-53.6735,40.59,78,92,4.45,GL,1687761976
301,turpan,42.9333,89.1667,97.3,12,100,8.19,CN,1687761976
302,tual,-5.6667,132.75,81.07,85,94,15.9,ID,1687761977
303,rabo de peixe,37.8,-25.5833,65.71,82,20,6.91,PT,1687761977
304,eastham,41.8301,-69.9739,70.0,85,7,4.0,US,1687761864
305,sitka,57.0531,-135.33,53.49,94,100,5.75,US,1687761978
306,itaituba,-4.2761,-55.9836,72.55,73,23,0.58,BR,1687761979
307,tofol,5.3248,163.0078,85.78,79,75,8.05,FM,1687761979
308,feijo,-8.1642,-70.3536,71.46,91,22,1.5,BR,1687761979
309,letlhakane,-21.4167,25.5833,61.27,27,0,10.33,BW,1687761980
310,santa fe,-31.6333,-60.7,62.02,97,92,3.0,AR,1687761981
311,hammerfest,70.6634,23.6821,50.45,76,40,5.75,NO,1687761981
312,wynyard,-41.0,145.7167,52.99,69,11,11.65,AU,1687761982
313,ta`u,-14.2336,-169.5144,80.56,78,84,8.81,AS,1687761982
314,nogliki,51.8333,143.1667,55.0,89,99,4.83,RU,1687761983
315,arauco,-37.2463,-73.3175,50.63,92,78,5.1,CL,1687761983
316,enshi,30.3,109.4833,91.29,49,8,1.57,CN,1687761873
317,kajiado,-1.8524,36.7768,65.28,58,82,3.85,KE,1687761984
318,srivardhan,18.0333,73.0167,84.78,76,100,15.9,IN,1687761985
319,lukhovitsy,54.9728,39.0361,69.33,55,100,6.2,RU,1687761985
320,upata,8.0086,-62.3989,75.2,94,42,5.93,VE,1687761985
321,da nang,16.0678,108.2208,91.38,62,20,9.22,VN,1687761986
322,grand island,40.925,-98.342,64.29,71,0,8.05,US,1687761986
323,nalut,30.3333,10.85,85.98,27,0,12.73,LY,1687761987
324,st. john's,47.5649,-52.7093,45.28,96,100,11.01,CA,1687761865
325,palikir - national government center,6.9248,158.1611,84.94,74,75,4.61,FM,1687761988
326,vila velha,-20.3297,-40.2925,69.94,94,75,3.44,BR,1687761988
327,lichtenburg,-26.152,26.1597,57.31,35,0,11.54,ZA,1687761988
328,acapulco de juarez,16.8634,-99.8901,76.82,88,100,8.05,MX,1687761765
329,envira,-7.3,-70.2167,70.38,98,94,1.52,BR,1687761989
330,shenjiamen,29.9576,122.298,76.55,88,64,19.8,CN,1687761990
331,sangin,32.0728,64.8359,103.71,16,0,7.4,AF,1687761990
332,aliveri,38.4167,24.0333,85.41,62,1,5.99,GR,1687761991
333,sinop,41.7711,34.8709,66.63,58,0,5.57,TR,1687761867
334,puerto deseado,-47.7503,-65.8938,43.63,94,100,11.21,AR,1687761992
335,tamandare,-8.7597,-35.1047,75.47,84,63,10.45,BR,1687761992
336,shizunai-furukawacho,42.3339,142.3669,67.01,80,6,6.82,JP,1687761993
337,wanning,18.8003,110.3967,88.32,64,99,9.71,CN,1687761994
338,tynda,55.1667,124.7167,78.76,38,33,2.44,RU,1687761994
339,luorong,24.4058,109.6086,76.1,95,100,6.8,CN,1687761995
340,wuwei,37.9281,102.6414,87.91,17,1,11.41,CN,1687761995
341,canutama,-6.5339,-64.3831,73.26,95,100,2.06,BR,1687761996
342,sosnovo-ozerskoye,52.5249,111.5418,84.6,25,33,15.52,RU,1687761997
343,egilsstadir,65.2653,-14.3948,49.91,76,75,4.61,IS,1687761997
344,revda,56.801,59.9303,52.43,90,100,11.97,RU,1687761997
345,sao vicente,-23.9631,-46.3919,72.27,26,0,5.1,BR,1687761998
346,arraial do cabo,-22.9661,-42.0278,68.49,81,0,10.36,BR,1687761999
347,north berwick,56.0583,-2.7229,59.52,82,0,16.11,GB,1687761999
348,yemva,62.59,50.8594,71.67,37,99,4.72,RU,1687762000
349,guangyuan,32.442,105.823,85.6,66,16,4.85,CN,1687762000
350,beypazari,40.1675,31.9211,78.28,52,0,4.81,TR,1687762001
351,port isabel,26.0734,-97.2086,83.05,88,0,10.36,US,1687762001
352,north bath,43.9348,-69.8159,69.24,97,100,1.01,US,1687762001
353,plattsburgh,44.6995,-73.4529,69.37,85,20,0.0,US,1687762002
354,palafrugell,41.9174,3.1631,82.62,39,56,1.01,ES,1687762002
